BSE Code,Q_FY,id_resig_ct,id_unstated_flag,auditor_change_flag,credit_downgrade_ct
500325,Q1FY25,0,0,0,0
500325,Q2FY23,0,0,1,0
500325,Q2FY24,1,0,0,0
500325,Q2FY25,0,0,0,0
500325,Q3FY23,0,0,0,0
500325,Q3FY24,0,0,0,0
500325,Q3FY25,0,0,0,0
500325,Q4FY23,0,0,0,0
500325,Q4FY24,0,0,0,0
500325,Q4FY25,0,0,0,0
500410,Q1FY23,0,0,0,0
500410,Q1FY24,0,0,0,0
500410,Q1FY25,0,0,0,0
500410,Q2FY23,6,1,0,0
500410,Q2FY24,0,0,0,0
500410,Q2FY25,0,0,0,0
500410,Q3FY23,0,0,0,0
500410,Q3FY24,0,0,0,0
500410,Q3FY25,0,0,0,0
500410,Q4FY23,0,0,0,0
500410,Q4FY24,0,0,0,0
500410,Q4FY25,0,0,0,0
500425,Q1FY23,0,0,0,0
500425,Q1FY24,0,0,0,0
500425,Q1FY25,0,0,0,0
500425,Q2FY23,0,0,0,0
500425,Q2FY24,0,0,0,0
500425,Q2FY25,0,0,0,0
500425,Q3FY23,0,0,0,0
500425,Q3FY24,0,0,0,0
500425,Q3FY25,0,0,0,0
500425,Q4FY23,0,0,0,0
500425,Q4FY24,0,0,0,0
500425,Q4FY25,0,0,0,0
500469,Q1FY23,0,0,0,0
500469,Q1FY24,0,0,0,0
500469,Q1FY25,0,0,0,0
500469,Q2FY23,0,0,0,0
500469,Q2FY24,0,0,1,0
500469,Q2FY25,0,0,0,0
500469,Q3FY23,0,0,0,0
500469,Q3FY24,0,0,0,0
500469,Q3FY25,0,0,0,0
500469,Q4FY23,0,0,0,0
500469,Q4FY24,0,0,0,0
500469,Q4FY25,0,0,0,0
500493,Q1FY23,0,0,1,0
500493,Q1FY24,0,0,0,0
500493,Q1FY25,0,0,0,0
500493,Q2FY23,0,0,0,0
500493,Q2FY24,0,0,0,0
500493,Q2FY25,0,0,0,0
500493,Q3FY23,0,0,0,0
500493,Q3FY24,0,0,0,0
500493,Q3FY25,0,0,0,0
500493,Q4FY23,0,0,0,0
500493,Q4FY24,0,0,0,0
500493,Q4FY25,0,0,0,0
500510,Q1FY23,0,0,0,0
500510,Q1FY24,0,0,0,0
500510,Q1FY25,0,0,0,0
500510,Q2FY23,0,0,0,0
500510,Q2FY24,0,0,0,0
