NSE Symbol,Q_FY,FY,Filing_Date,Window_Start,Window_End,n_obs,alpha_daily,alpha_annual,t_alpha,p_alpha,r_squared,beta_Mkt_RF,beta_SMB,beta_HML,beta_RMW,beta_CMA,beta_MOM
BDL,Q4FY23,FY23,2023-07-11,2023-07-12,2024-07-23,252,-0.00026692651142437183,-0.06505304215384833,-0.09618580952154784,0.9234516314733908,0.0389907167896103,3.2593917184838306,-0.8105290556445225,-0.8110236212112253,-0.006550043701042174,-1.2091602501420422,2.3754727795840322
BDL,Q4FY24,FY24,2024-07-12,2024-07-15,2025-07-17,252,0.004379571702054921,2.0151575039110208,1.33847229485802,0.18198328119139284,0.04893385237387671,1.7307761169204219,-4.773476642003064,-8.253920955875657,-1.7425583159320222,-0.15865885140767744,-0.4824754100817259
HAL,Q4FY22,FY22,2022-07-13,2022-07-14,2023-07-20,252,0.002117320010758167,0.7049992020185472,1.086449919373209,0.2783477483538661,0.03159560512972148,2.0819363777427307,0.5891595213787042,-0.3692662498555954,0.08158173703643207,-4.957915951084329,-0.2583100380260943
HAL,Q4FY23,FY23,2023-07-10,2023-07-11,2024-07-22,252,0.00012452341006014884,0.031877438986902054,0.05287458589778037,0.9578749202730579,0.029357440567420623,2.3575942293932055,0.09703172127552445,0.30249447028469695,0.15657568327202942,-2.209331281333254,1.8367441974608565
HAL,Q4FY24,FY24,2024-07-09,2024-07-10,2025-07-14,252,0.0033754555540555335,1.3410857081849763,1.304618085373615,0.19324706757328683,0.04915511188999555,2.0825255086792245,-4.390807656321966,-8.234610687200961,1.00743342398694,-1.6041809128100484,0.044648908478016974
ADANIGREEN,Q4FY23,FY23,2023-07-21,2023-07-24,2024-08-02,252,-0.0015636071783920913,-0.3256655057821589,-0.5265832061016652,0.598959461077115,0.03612120715670275,3.180604119270606,-2.05460010543651,-0.6666016016132655,-3.662166694327027,-0.053623982655622626,0.7160360480108516
ADANIGREEN,Q4FY24,FY24,2024-07-20,2024-07-22,2025-07-23,252,-0.0031016479645003636,-0.5423338482866781,-0.8351648351800782,0.40443857705766934,0.035268276846915914,2.8005000630684385,-0.2799075668542126,-2.488807106493506,0.8230245629704096,0.029910813306556427,-2.2982220739029873
FINEORG,Q4FY22,FY22,2022-07-19,2022-07-20,2023-07-26,252,0.0002370459892458549,0.061555822704966796,0.10652616237336932,0.9152520719705292,0.028082537908808547,0.7098568979426235,1.171833846829426,-0.7488051854666308,-0.1913509799497416,-4.971720810377871,0.8674623762736525
FINEORG,Q4FY23,FY23,2023-07-20,2023-07-21,2024-08-01,252,-0.0009849946501781467,-0.21981066521063394,-0.6681015839197724,0.5046976505641784,0.04209494424160809,1.5255886645864933,1.1541493745040141,-1.0551247085661597,0.0990318516463915,0.33607233539517545,-0.2604232688552279
FINEORG,Q4FY24,FY24,2024-07-19,2024-07-22,2025-07-23,252,0.002073237989496376,0.6861637417726532,0.8621001269191976,0.3894754432380346,0.04846919442541586,1.2868643931365964,-1.8095839531591902,-5.392380271355899,-1.0761758871519809,0.3688990894686828,-0.6521199965937533
