BSE Code,FY,Industry,Sector,total_vol,idio_vol,downside_vol,max_drawdown,lag_total_vol,lag_idio_vol
500770.0,FY25,Chemicals,Basic Materials,0.014866893968697722,0.012629916239008216,0.007109407359273314,0.2861637389414815,0.015420242898375928,0.011344002378204522
500790.0,FY25,Packaged Foods,Consumer Defensive,0.011582314267409504,0.010063149259477417,0.004803515478973831,0.06219464833232968,0.011838226482048535,0.010755756837724631
500800.0,FY25,Packaged Foods,Consumer Defensive,0.011624015564647937,0.010614071259377507,0.006673705041801669,0.04801663471636597,0.014829776190844288,0.013204941047882958
500830.0,FY25,Household & Personal Products,Consumer Defensive,0.01225027054242046,0.011473310034620376,0.007884520175862013,0.16640341600624975,0.014630952138423,0.013462811192657773
500850.0,FY25,Lodging,Consumer Cyclical,0.013711157575757596,0.0108314465374751,0.008004554124251245,0.20463062204045968,0.021542271870933834,0.01495468281404825
500870.0,FY25,Oil & Gas Refining & Marketing,Energy,0.01026249558485278,0.009653811800533138,0.006690981290982627,0.1635386602527601,0.02352311854159499,0.02182739141885655
500875.0,FY25,Tobacco,Consumer Defensive,0.007950117793914272,0.007820167888345912,0.005056408455392074,0.11533079689670422,0.009751484978609937,0.008473179601205536
500877.0,FY25,Auto Parts,Consumer Cyclical,0.016184684495233588,0.01527102556954292,0.008194018882588677,0.07971689989136599,0.017073989635527236,0.01420878137500344
500878.0,FY25,Auto Parts,Consumer Cyclical,0.02311618071201523,0.022765930606085984,0.012358739631998863,0.21673423966021177,0.024470457084195114,0.02107518701933978
501301.0,FY25,Asset Management,Financial Services,0.03144238450418233,0.03133239350491486,0.019933607157075126,0.43621526519415477,0.02202543374827739,0.019437890771202188
502355.0,FY25,Auto Parts,Consumer Cyclical,0.017960246802099,0.015959471739799513,0.00837192658306177,0.14234210107571632,0.0172225159661645,0.014839223337361145
503100.0,FY25,Real Estate - Diversified,Real Estate,0.014445862760011927,0.011938482417547528,0.007327198851908413,0.15944759548217113,0.022941032114256382,0.0210359922189791
503806.0,FY25,Conglomerates,Industrials,0.015385847868724909,0.01240984318092212,0.009902514663449649,0.15531354567566624,0.017383758433739762,0.015058528110686028
504614.0,FY25,Steel,Basic Materials,0.026925423363105484,0.02553377477779697,0.01413094053290122,0.15954646733032818,0.030893883346614415,0.026208998939377212
504973.0,FY25,Credit Services,Financial Services,0.02024780791263244,0.01858965119548662,0.01073160481211482,0.20967083424344157,0.02837587546157425,0.025392259727894027
505200.0,FY25,Auto Manufacturers,Consumer Cyclical,0.012128868687003552,0.011530611473133693,0.00638338849827786,0.07497664221699807,0.014986585269350148,0.010960723387592516
505790.0,FY25,Auto Parts,Consumer Cyclical,0.015120084341657954,0.013773057913797133,0.006313706875880058,0.16029503253948574,0.02142904633785987,0.019465161990097894
506285.0,FY25,Agricultural Inputs,Basic Materials,0.013326001533378921,0.012963010744594439,0.01052662162599331,0.30506519819704503,0.020742711191510475,0.019753494704561985
506401.0,FY25,Chemicals,Basic Materials,0.013784284037971108,0.013523834645176968,0.007539230040137458,0.187156402347597,0.023872035869186143,0.01885088303164209
506820.0,FY25,Drug Manufacturers - Specialty & Generic,Healthcare,0.013812837850415314,0.012983315066133332,0.008146931550619789,0.14170235546038534,0.024253395380718763,0.02342453124496358
506943.0,FY25,Drug Manufacturers - Specialty & Generic,Healthcare,0.012645929860789037,0.011988619978106093,0.005697927381336289,0.07735574792273725,0.02041241326505321,0.019577193119050654
507685.0,FY25,Information Technology Services,Technology,0.014664874399450875,0.01293737717905006,0.011801514880895831,0.1674714183854229,0.017552056699982492,0.014837954274052044
508869.0,FY25,Medical Care Facilities,Healthcare,0.012425688541147208,0.010882824138745946,0.004147873937715707,0.1434017948201285,0.01388967993403961,0.012178938648125708
509930.0,FY25,Building Products & Equipment,Industrials,0.016539443458225302,0.015131758319528163,0.009359125059660061,0.31359693024182167,0.023495280388906487,0.01845129683886234
511243.0,FY25,Credit Services,Financial Services,0.01777633664699,0.015314019783573576,0.00930317649921437,0.13647000881949778,0.0220312555771985,0.017848629149130567
512070.0,FY25,Agricultural Inputs,Basic Materials,0.017019587784690236,0.013322468584582456,0.009386141614208433,0.15145346401306004,0.01747447298398198,0.014351627225166051
512599.0,FY25,Thermal Coal,Energy,0.022029632455596176,0.016415305507630353,0.011763795012749509,0.3169877069284269,0.01936654345974906,0.013173665751194325
513599.0,FY25,Copper,Basic Materials,0.031226362459865566,0.029366819929436138,0.015236933335931511,0.16717981148814431,0.02843995010883229,0.017572967664140328
513683.0,FY25,Utilities - Regulated Electric,Utilities,0.018657263481208084,0.01795061713779287,0.00970429408071859,0.20234621993722057,0.025772190327739513,0.022233216958557615
515055.0,FY25,Real Estate - Development,Real Estate,0.028008634231932464,0.026561351852465432,0.012865249766316084,0.37572827502167927,0.04312378715154875,0.03591379692785249
517174.0,FY25,Electrical Equipment & Parts,Industrials,0.013281123629059269,0.012978027754342269,0.007518256483886225,0.23946923995776126,0.016517382833546458,0.014624931674431402
517334.0,FY25,Auto Parts,Consumer Cyclical,0.017450478075924095,0.014430574118197198,0.00683806139408744,0.1353003563756302,0.023200799129635522,0.015953665695013976
517569.0,FY25,Electrical Equipment & Parts,Industrials,0.016075529764968625,0.014084316469685325,0.010567229091083681,0.14918494162922757,0.0351779513844235,0.031963411960238594
520056.0,FY25,Auto Parts,Consumer Cyclical,0.019961716809822935,0.018169862124736157,0.008779174598649648,0.19351685331226487,0.023258379496910533,0.02005770616661357
521064.0,FY25,Textile Manufacturing,Consumer Cyclical,0.01306307326422567,0.011530009520203662,0.006815318391117307,0.22922669639537419,0.024918072435375867,0.021117120400609857
522113.0,FY25,Tools & Accessories,Industrials,0.01389164724384032,0.012801978175716737,0.009771686085197073,0.18922094260821454,0.024094066041959475,0.02079124374728616
522287.0,FY25,Engineering & Construction,Industrials,0.016504906144246014,0.015920817437727528,0.007764802846915493,0.18762027982376817,0.026354553832701057,0.021675186691551756
523395.0,FY25,Conglomerates,Industrials,0.01884454443142647,0.018712076982291024,0.0070296367435836605,0.10659302169067009,0.014744963615467755,0.013449957686446697
523405.0,FY25,Capital Markets,Financial Services,0.02726080913608508,0.0242602470176164,0.015657512094593165,0.34985317916801206,0.03025366560061674,0.024856661391452407
524200.0,FY25,Specialty Chemicals,Basic Materials,0.012125092046649437,0.0116224320010514,0.006611823888251572,0.22005709284564068,0.018875418724042223,0.01609038977205578
524715.0,FY25,Drug Manufacturers - Specialty & Generic,Healthcare,0.011232359590785968,0.00950951404159417,0.007851426738478402,0.10693480719779214,0.014486477029877499,0.013188337262849452
524804.0,FY25,Drug Manufacturers - Specialty & Generic,Healthcare,0.014893025619039385,0.013380706207260706,0.00846314078179181,0.11403411416134035,0.020528590350405874,0.016267385560144343
524816.0,FY25,Drug Manufacturers - Specialty & Generic,Healthcare,0.021321802704175514,0.018099816523545406,0.009612414028011078,0.2321826359877298,0.0325637756999699,0.029892367784925662
526299.0,FY25,Information Technology Services,Technology,0.016373024249553145,0.014716226092712413,0.010050392336115132,0.11937624435453298,0.02201927224284375,0.016102760471671248
530019.0,FY25,Drug Manufacturers - Specialty & Generic,Healthcare,0.01927747652873617,0.01687817820195694,0.008719426746498183,0.20575905693713248,0.027275792658270324,0.025646396515647957
531344.0,FY25,Railroads,Industrials,0.012513331771923073,0.00997129519923785,0.007238871646231254,0.1797366278789957,0.020764169772717184,0.015074661433462422
531531.0,FY25,Packaged Foods,Consumer Defensive,0.022592456385382653,0.021513146060250166,0.008150137852661946,0.24150414201043724,0.018696848859915786,0.01780682214684096
531595.0,FY25,Credit Services,Financial Services,0.017091711746349752,0.015085087904449622,0.008045001348900224,0.20754641702581533,0.03628363318776186,0.034732097595687905
531642.0,FY25,Household & Personal Products,Consumer Defensive,0.010336674753238132,0.009632402110924457,0.005350317784206957,0.07242129805143704,0.012578881012368932,0.011391637286928838
532134.0,FY25,Banks - Regional,Financial Services,0.013211832575309146,0.010977237705086552,0.006401915601790372,0.057559184373546346,0.01882360126831718,0.015728180437431342
532181.0,FY25,Thermal Coal,Energy,0.034089254319855086,0.03100053770411774,0.014060244375381082,0.25495793241588505,0.02958164438003511,0.021766848638064468
532210.0,FY25,Banks - Regional,Financial Services,0.022197203475147146,0.02162779592925908,0.012469135466861361,0.11307199009833835,0.020505404522766894,0.01827562687398242
532234.0,FY25,Aluminum,Basic Materials,0.023991605606318286,0.022011285087024587,0.014471549918140264,0.1379269769435365,0.025838501347388135,0.01861884035681112
532259.0,FY25,Electrical Equipment & Parts,Industrials,0.023440692569460037,0.020330862669248606,0.012327998328057838,0.26488056189598785,0.03675802940732077,0.03450957093074183
532281.0,FY25,Information Technology Services,Technology,0.011839140403961099,0.010487467048830574,0.005851891721626539,0.07917828636043445,0.017323361296649856,0.013917491668644758
532286.0,FY25,Steel,Basic Materials,0.01699699484555522,0.013848700163581943,0.008270670880684308,0.0940273390405868,0.019547209735497655,0.014977802431400039
532300.0,FY25,Drug Manufacturers - Specialty & Generic,Healthcare,0.03230086822179014,0.030709538876650417,0.013704826678508706,0.25937031484257866,0.036544676154969744,0.030754967224150987
532321.0,FY25,Drug Manufacturers - Specialty & Generic,Healthcare,0.012152289380964687,0.010261033849039938,0.006483763291112943,0.15895198039673142,0.016288828395193883,0.013463319290127508
532331.0,FY25,Drug Manufacturers - Specialty & Generic,Healthcare,0.013869516424894856,0.012981228437108479,0.006606008449997659,0.1540096789364116,0.022435852575910034,0.020328026785018848
532432.0,FY25,Beverages - Wineries & Distilleries,Consumer Defensive,0.01142148633875882,0.010061293400180879,0.006017343543184785,0.06565086305138101,0.015520132702945739,0.013722985630842404
532466.0,FY25,Software - Infrastructure,Technology,0.01672374349293158,0.013913954341281993,0.007207130414067961,0.18524070690695238,0.02200466295602478,0.01636855055189863
532477.0,FY25,Banks - Regional,Financial Services,0.017641394029756927,0.015292491081953047,0.007911896152696413,0.09241621088223939,0.02452706866507044,0.020280485676680154
532478.0,FY25,Beverages - Brewers,Consumer Defensive,0.009673583167625724,0.009468696384002996,0.006507261953535582,0.273019363690744,0.015066753824209274,0.014148085089196195
532497.0,FY25,Beverages - Wineries & Distilleries,Consumer Defensive,0.019124368581037367,0.01823135605314472,0.011047377712920877,0.13664952341824366,0.02167779018983273,0.020371372362190884
532500.0,FY25,Auto Manufacturers,Consumer Cyclical,0.013481704224319702,0.012892991445162061,0.008310717079824335,0.15280193660134445,0.011318287134002254,0.009541952608718401
532504.0,FY25,Chemicals,Basic Materials,0.021385826408597194,0.020673301778071855,0.009182567468953715,0.12060271814994539,0.01812792448651499,0.0172005560256757
532505.0,FY25,Banks - Regional,Financial Services,0.01387638724835012,0.011514331709717362,0.006842521056098333,0.18766384116553514,0.023748913648232978,0.020178844398444612
532514.0,FY25,Utilities - Regulated Gas,Utilities,0.014767605947730572,0.013488146307006564,0.006195632200335102,0.19540356114009538,0.022145349020886735,0.018192186717893227
532522.0,FY25,Oil & Gas Refining & Marketing,Energy,0.013965805426892535,0.012483001405770616,0.005804361858692098,0.07390707661294116,0.018951895814902375,0.014741626832433082
532541.0,FY25,Information Technology Services,Technology,0.019402263418818518,0.016762308908366663,0.010839066482309456,0.19069161543616253,0.025324407420689005,0.020549005534212673
