NSE Symbol,BSE Code,Industry,Sector,FY,Filing_Date,Window_Start,Window_End,n_obs,beta,total_vol,downside_vol
FINEORG,541557,Specialty Chemicals,Basic Materials,FY23,2022-10-14,2022-10-17,2023-10-23,252,0.5734633122022054,0.01850232645281802,0.013521671879219373
HDFCAMC,541729,Asset Management,Financial Services,FY23,2022-10-18,2022-10-19,2023-10-26,252,1.3433724842274237,0.01832482042389486,0.008085658430517818
CREDITACC,541770,Credit Services,Financial Services,FY23,2022-10-07,2022-10-10,2023-10-16,252,0.7595256170121174,0.0199247605893069,0.010997391504232368
IRCON,541956,Engineering & Construction,Industrials,FY23,2022-10-14,2022-10-17,2023-10-23,252,2.4657701900045366,0.034879113324248014,0.017183017196989937
GRSE,542011,Aerospace & Defense,Industrials,FY23,2022-10-13,2022-10-14,2023-10-20,252,1.8814477416092363,0.032185673590552744,0.016220869452929613
ATGL,542066,Utilities - Regulated Gas,Utilities,FY23,2022-10-21,2022-10-24,2023-10-31,252,1.7344993274469924,0.03599603020900166,0.031112452368012012
TECHNOE,542141,Engineering & Construction,Industrials,FY23,2022-10-14,2022-10-17,2023-10-23,252,0.9628555735662508,0.02198609645971549,0.011866083498606074
DALBHARAT,542216,Building Materials,Basic Materials,FY23,2022-10-13,2022-10-14,2023-10-20,252,1.3395152746483214,0.016723588508126566,0.009745743475337064
CHALET,542399,Lodging,Consumer Cyclical,FY23,2022-10-20,2022-10-21,2023-10-30,252,0.7275456746281802,0.01838750167471754,0.012937069197467867
POLYCAB,542652,Electrical Equipment & Parts,Industrials,FY23,2022-10-15,2022-10-17,2023-10-23,252,0.9412960877250958,0.017887867766067208,0.0101175054046032
AFFLE,542752,Advertising Agencies,Communication Services,FY23,2022-10-18,2022-10-19,2023-10-26,252,0.913514956336634,0.016438752761404656,0.007784303966803389
360ONE,542772,Asset Management,Financial Services,FY23,2022-10-17,2022-10-18,2023-10-25,252,0.5715273610611982,0.016934784126597924,0.01086744666440478
FLUOROCHEM,542812,Specialty Chemicals,Basic Materials,FY23,2022-10-20,2022-10-21,2023-10-30,252,0.6015460979883,0.018987937757607605,0.010934436262166187
SUMICHEM,542920,Agricultural Inputs,Basic Materials,FY23,2022-10-11,2022-10-12,2023-10-18,252,0.5655721555255053,0.01771630130689971,0.0103809582176081
SBICARD,543066,Credit Services,Financial Services,FY23,2022-10-18,2022-10-19,2023-10-26,252,0.8637528510848285,0.01238283745817095,0.007259540896985774
POWERINDIA,543187,Electrical Equipment & Parts,Industrials,FY23,2022-10-13,2022-10-14,2023-10-20,252,0.4563703718570435,0.018911609153190123,0.010523215919609705
MAXHEALTH,543220,Medical Care Facilities,Healthcare,FY23,2022-10-17,2022-10-18,2023-10-25,252,0.2733833803292466,0.01963818066547396,0.011479197193974928
ANGELONE,543235,Capital Markets,Financial Services,FY23,2022-10-14,2022-10-17,2023-10-23,252,1.2014532670595965,0.024855846409741148,0.013705305971542995
MAZDOCK,543237,Aerospace & Defense,Industrials,FY23,2022-10-14,2022-10-17,2023-10-23,252,2.117847816027155,0.0337969719582395,0.015094775593047342
UTIAMC,543238,Asset Management,Financial Services,FY23,2022-10-21,2022-10-24,2023-10-31,252,1.0140168236202618,0.01881818543939229,0.009032207982616954
GLAND,543245,Drug Manufacturers - Specialty & Generic,Healthcare,FY23,2022-10-19,2022-10-20,2023-10-27,252,0.14422329175926085,0.03316876804473145,0.028371863749693128
IRFC,543257,Credit Services,Financial Services,FY23,2022-10-20,2022-10-21,2023-10-30,252,1.9744523164943917,0.03218789759453333,0.016640474553969022
CRAFTSMAN,543276,Auto Parts,Consumer Cyclical,FY23,2022-10-14,2022-10-17,2023-10-23,252,0.8652730635987745,0.021883455922399375,0.011174086250472092
SHYAMMETL,543299,Steel,Basic Materials,FY23,2022-10-12,2022-10-13,2023-10-19,252,0.9708872632032925,0.017862825760887505,0.008490173225638126
SONACOMS,543300,Auto Parts,Consumer Cyclical,FY23,2022-10-20,2022-10-21,2023-10-30,252,1.0981475928864757,0.01990028641052336,0.010035579552550758
KIMS,543308,Medical Care Facilities,Healthcare,FY23,2022-10-19,2022-10-20,2023-10-27,252,0.49592978273692057,0.0171136953392779,0.009397659134257068
DEVYANI,543330,Restaurants,Consumer Cyclical,FY23,2022-10-14,2022-10-17,2023-10-23,252,0.9635313743061533,0.018811466898429312,0.010901175176161768
NUVOCO,543334,Building Materials,Basic Materials,FY23,2022-10-17,2022-10-18,2023-10-25,252,0.739041581189134,0.015044954325749227,0.007961396366975144
ABSLAMC,543374,Asset Management,Financial Services,FY23,2022-10-18,2022-10-19,2023-10-26,252,0.7401339090955297,0.014671552150422953,0.00997325040141785
NYKAA,543384,Internet Retail,Consumer Cyclical,FY23,2022-10-20,2022-10-21,2023-10-30,252,1.2205109347759358,0.02717189543405389,0.016173375408360235
POLICYBZR,543390,Insurance Brokers,Financial Services,FY23,2022-10-20,2022-10-21,2023-10-30,252,1.1150477927892575,0.02562286408621275,0.012650022531020827
