BSE Code,Q_FY,Category,Avg_Score
500027.0,Q2FY26,DINDEX,0.029411764705882353
500027.0,Q2FY26,OINDEX,0.7454999999999999
500027.0,Q2FY26,TRINDEX,0.43596
500027.0,Q3FY22,AINDEX,0.5646875
500027.0,Q3FY22,BINDEX,0.4060780487804878
500027.0,Q3FY22,DINDEX,0.029411764705882353
500027.0,Q3FY22,OINDEX,0.7454999999999999
500027.0,Q3FY22,TRINDEX,0.43596
500027.0,Q3FY23,AINDEX,0.6896875
500027.0,Q3FY23,BINDEX,0.4164878048780488
500027.0,Q3FY23,DINDEX,0.029411764705882353
500027.0,Q3FY23,OINDEX,0.7454999999999999
500027.0,Q3FY23,TRINDEX,0.43596
500027.0,Q3FY24,AINDEX,0.71265
500027.0,Q3FY24,BINDEX,0.4611512195121951
500027.0,Q3FY24,DINDEX,0.029411764705882353
500027.0,Q3FY24,OINDEX,0.7454999999999999
500027.0,Q3FY24,TRINDEX,0.53596
500027.0,Q3FY25,AINDEX,0.7504
500027.0,Q3FY25,BINDEX,0.24533658536585365
500027.0,Q3FY25,DINDEX,0.029411764705882353
500027.0,Q3FY25,OINDEX,0.7454999999999999
500027.0,Q3FY25,TRINDEX,0.43596
500027.0,Q4FY22,AINDEX,0.5214624999999999
500027.0,Q4FY22,BINDEX,0.48089756097560976
500027.0,Q4FY22,DINDEX,0.029411764705882353
500027.0,Q4FY22,OINDEX,0.7454999999999999
500027.0,Q4FY22,TRINDEX,0.43596
500027.0,Q4FY23,AINDEX,0.5963125
500027.0,Q4FY23,BINDEX,0.4771609756097561
500027.0,Q4FY23,DINDEX,0.029411764705882353
500027.0,Q4FY23,OINDEX,0.7454999999999999
500027.0,Q4FY23,TRINDEX,0.43596
500027.0,Q4FY24,AINDEX,0.6469125
500027.0,Q4FY24,BINDEX,0.37002926829268296
500027.0,Q4FY24,DINDEX,0.029411764705882353
500027.0,Q4FY24,OINDEX,0.7454999999999999
500027.0,Q4FY24,TRINDEX,0.53596
500027.0,Q4FY25,AINDEX,0.707575
500027.0,Q4FY25,BINDEX,0.2915024390243902
500027.0,Q4FY25,DINDEX,0.029411764705882353
500027.0,Q4FY25,OINDEX,0.7454999999999999
500027.0,Q4FY25,TRINDEX,0.53596
500033.0,Q1FY25,AINDEX,0.425925
500033.0,Q1FY25,BINDEX,0.7628292682926829
500033.0,Q1FY25,DINDEX,0.40588235294117647
500033.0,Q1FY25,OINDEX,0.5742833333333334
500033.0,Q1FY25,TRINDEX,0.78516
500033.0,Q2FY25,AINDEX,0.5021875
500033.0,Q2FY25,BINDEX,0.7432487804878048
500033.0,Q2FY25,DINDEX,0.40588235294117647
500033.0,Q2FY25,OINDEX,0.5742833333333334
500033.0,Q2FY25,TRINDEX,0.78516
500033.0,Q2FY26,AINDEX,0.46915
500033.0,Q2FY26,BINDEX,0.7214048780487805
500033.0,Q2FY26,DINDEX,0.40588235294117647
500033.0,Q2FY26,OINDEX,0.5742833333333334
500033.0,Q2FY26,TRINDEX,0.75432
500033.0,Q3FY25,AINDEX,0.40215
500033.0,Q3FY25,BINDEX,0.7475609756097561
500033.0,Q3FY25,DINDEX,0.40588235294117647
500033.0,Q3FY25,OINDEX,0.5742833333333334
500033.0,Q3FY25,TRINDEX,0.68516
500033.0,Q3FY26,AINDEX,0.5021875
500033.0,Q3FY26,BINDEX,0.723580487804878
500033.0,Q3FY26,DINDEX,0.40588235294117647
500033.0,Q3FY26,OINDEX,0.5742833333333334
500033.0,Q3FY26,TRINDEX,0.7711399999999999
500033.0,Q4FY24,AINDEX,0.4340125
500033.0,Q4FY24,BINDEX,0.6659219512195123
500033.0,Q4FY24,DINDEX,0.40588235294117647
500033.0,Q4FY24,OINDEX,0.5742833333333334
500033.0,Q4FY24,TRINDEX,0.68516
500033.0,Q4FY25,AINDEX,0.40215
500033.0,Q4FY25,BINDEX,0.726390243902439
500033.0,Q4FY25,DINDEX,0.40588235294117647
500033.0,Q4FY25,OINDEX,0.5742833333333334
500033.0,Q4FY25,TRINDEX,0.67114
500034.0,Q1FY22,AINDEX,0.3751625
500034.0,Q1FY22,BINDEX,0.5670048780487805
500034.0,Q1FY22,DINDEX,0.45294117647058824
500034.0,Q1FY22,OINDEX,0.7794500000000001
500034.0,Q1FY22,TRINDEX,0.5856399999999999
500034.0,Q1FY23,AINDEX,0.3751625
500034.0,Q1FY23,BINDEX,0.568390243902439
500034.0,Q1FY23,DINDEX,0.45294117647058824
500034.0,Q1FY23,OINDEX,0.7794500000000001
500034.0,Q1FY23,TRINDEX,0.5856399999999999
500034.0,Q1FY24,AINDEX,0.45001250000000004
500034.0,Q1FY24,BINDEX,0.5621951219512196
500034.0,Q1FY24,DINDEX,0.45294117647058824
500034.0,Q1FY24,OINDEX,0.7794500000000001
500034.0,Q1FY24,TRINDEX,0.5856399999999999
500034.0,Q1FY25,AINDEX,0.446425
500034.0,Q1FY25,BINDEX,0.5182048780487806
500034.0,Q1FY25,DINDEX,0.45294117647058824
500034.0,Q1FY25,OINDEX,0.7794500000000001
500034.0,Q1FY25,TRINDEX,0.5856399999999999
500034.0,Q1FY26,AINDEX,0.45001250000000004
500034.0,Q1FY26,BINDEX,0.46397073170731706
500034.0,Q1FY26,DINDEX,0.45294117647058824
500034.0,Q1FY26,OINDEX,0.7794500000000001
500034.0,Q1FY26,TRINDEX,0.5856399999999999
500034.0,Q2FY22,AINDEX,0.4396875
500034.0,Q2FY22,BINDEX,0.5798439024390244
500034.0,Q2FY22,DINDEX,0.45294117647058824
500034.0,Q2FY22,OINDEX,0.7794500000000001
500034.0,Q2FY22,TRINDEX,0.5856399999999999
500034.0,Q2FY23,AINDEX,0.4569375
500034.0,Q2FY23,BINDEX,0.5572682926829268
500034.0,Q2FY23,DINDEX,0.45294117647058824
500034.0,Q2FY23,OINDEX,0.7794500000000001
500034.0,Q2FY23,TRINDEX,0.5856399999999999
500034.0,Q2FY24,AINDEX,0.40678749999999997
500034.0,Q2FY24,BINDEX,0.5760195121951219
500034.0,Q2FY24,DINDEX,0.45294117647058824
500034.0,Q2FY24,OINDEX,0.7794500000000001
500034.0,Q2FY24,TRINDEX,0.38564
500034.0,Q2FY25,AINDEX,0.5819375
500034.0,Q2FY25,BINDEX,0.5562829268292683
500034.0,Q2FY25,DINDEX,0.45294117647058824
500034.0,Q2FY25,OINDEX,0.7794500000000001
500034.0,Q2FY25,TRINDEX,0.5856399999999999
500034.0,Q2FY26,AINDEX,0.43262500000000004
500034.0,Q2FY26,BINDEX,0.4726439024390244
500034.0,Q2FY26,DINDEX,0.45294117647058824
500034.0,Q2FY26,OINDEX,0.7794500000000001
500034.0,Q2FY26,TRINDEX,0.5856399999999999
500034.0,Q3FY22,AINDEX,0.3751625
