NSE Symbol,BSE Code,Industry,Sector,FY,Filing_Date,Window_Start,Window_End,n_trading_days,cum_return,cum_mkt_return,mar_log,mar_pct,iar_pct,sar_pct
KAJARIACER,500233,Building Products & Equipment,Industrials,FY25,2024-10-14,2024-10-15,2025-10-21,252,-0.1386401531934569,0.0013549276644787519,-0.15059693190365336,-0.1398056543092615,0.03376960335987367,-0.03866475301464209
WHIRLPOOL,500238,"Furnishings, Fixtures & Appliances",Consumer Cyclical,FY25,2024-10-14,2024-10-15,2025-10-21,252,-0.4191585073651157,0.0013549276644787519,-0.5446313881145286,-0.4199444406893604,-0.1376552907836719,-0.4543831087276481
LMW,500252,Specialty Industrial Machinery,Industrials,FY25,2024-10-10,2024-10-11,2025-10-17,252,-0.10079591511633121,-4.221067047317127e-06,-0.10624103597939849,-0.10079211949957814,0.16666641922671058,-0.0008205149375163923
LICHSGFIN,500253,Mortgage Finance,Financial Services,FY25,2024-10-18,2024-10-21,2025-10-28,252,-0.017788735309800442,0.01586350129873997,-0.03368784762251441,-0.033126730673478676,0.0017633726679601378,-0.16073680976390833
RAMCOCEM,500260,Building Materials,Basic Materials,FY25,2024-10-18,2024-10-21,2025-10-28,252,0.27448201574871933,0.01586350129873997,0.22680084289046804,0.2545799845346803,0.10506891810026894,0.2226750311420712
MAHSCOOTER,500266,Asset Management,Financial Services,FY25,2024-10-15,2024-10-16,2025-10-23,252,0.45797335831862357,0.0008510881305343116,0.37619663450097607,0.45673354968513546,0.19993507685508394,0.31502528386451567
MFSL,500271,Insurance - Life,Financial Services,FY25,2024-10-18,2024-10-21,2025-10-28,252,0.2781583778474006,0.01586350129873997,0.22968128359005358,0.25819893737035277,0.0,0.1352103033932927
MRF,500290,Auto Parts,Consumer Cyclical,FY25,2024-10-18,2024-10-21,2025-10-28,252,0.2299917535678273,0.01586350129873997,0.19126847393022495,0.2107844725155822,0.21733675346401693,0.1947671522052949
VEDL,500295,Other Industrial Metals & Mining,Basic Materials,FY25,2024-10-18,2024-10-21,2025-10-28,252,0.12449320987099913,0.01586350129873997,0.10159346302984061,0.10693337090404421,0.04634552863819337,0.072686225264351
ONGC,500312,Oil & Gas Integrated,Energy,FY25,2024-10-18,2024-10-21,2025-10-28,252,-0.043608351117932376,0.01586350129873997,-0.0603267662768412,-0.05854315303250881,0.07685313241496157,0.026290666362996956
