BSE Code,NSE Symbol,FY,Industry,n_obs,mar_pct,capm_alpha,ff5_alpha,total_vol,idio_vol,downside_vol,roe
509930.0,SUPREMEIND,FY23,Building Products & Equipment,250,0.09131612317998263,0.15637739001754838,0.17175335188682914,0.026553903627613482,0.02567918164349795,0.013786988059412184,0.209386493580722
511243.0,CHOLAFIN,FY23,Credit Services,250,-0.07733175221019055,-0.08490168983314081,0.0072396658316849554,0.01915145884498445,0.016894804206802762,0.009632125430566497,0.1745530601370676
512070.0,UPL,FY23,Agricultural Inputs,250,-0.3689924131233556,-0.40847546498701276,-0.5292404355653335,0.01817174003790722,0.014526603779937327,0.011929384021776455,-0.0431763393660274
512599.0,ADANIENT,FY23,Thermal Coal,250,-0.09158336956754022,-0.2812310849613138,-0.22449096194512452,0.026479409053157644,0.01915244709674141,0.01052404694739125,0.0829351145419104
513683.0,NLCINDIA,FY23,Utilities - Regulated Electric,250,0.8351422798917413,0.3631117512186656,-0.2619823383192248,0.03589013369001356,0.03059217904914995,0.018823663559867726,0.1121574249669561
515055.0,ANANTRAJ,FY23,Real Estate - Development,250,0.9989329848515467,0.6930549080077617,0.8231712227944792,0.02635540004369294,0.021258943984363256,0.011539036212911177,0.0727298336472387
517174.0,HONAUT,FY23,Electrical Equipment & Parts,250,-0.05720122765722555,0.018877161900224596,-0.11744329374361841,0.016820003226535218,0.015755872545272654,0.007985897151982842,0.1390383228883589
517334.0,MOTHERSON,FY23,Auto Parts,250,0.41527014301517945,0.40045239682858774,0.6350837117644818,0.01886080544302825,0.016521643057569313,0.010073592757415198,0.1038505213172292
517569.0,KEI,FY23,Electrical Equipment & Parts,250,0.2234330637670102,0.27056055087243275,-0.22176994538534475,0.02490978995078961,0.02377282963497141,0.012946023192615072,0.1844648352234755
520056.0,TVSHLTD,FY23,Auto Parts,250,1.2032246305015504,1.2745260051308063,0.8270190765491965,0.021636682498203615,0.020252849817111465,0.010392475494570057,0.2818205185083466
521064.0,TRIDENT,FY23,Textile Manufacturing,250,-0.12945815036701303,-0.1604195959642042,-0.4283505998785924,0.025948813007609504,0.0239749087700083,0.011027395697488656,0.0809934629618043
522113.0,TIMKEN,FY23,Tools & Accessories,250,-0.06784204553030233,0.03193682553975881,-0.25603597020027397,0.01976182435329754,0.019021855949377903,0.011237319267632374,0.1622255574897901
522287.0,KPIL,FY23,Engineering & Construction,250,0.7656957254618253,0.6492008361720625,1.423671567580865,0.02487228971301507,0.022287416513159672,0.011927818204523726,0.0991847006319592
523395.0,3MINDIA,FY23,Conglomerates,250,0.061938973978308616,0.17097427809169957,-0.02295300101869774,0.020250303950332022,0.01952163533470818,0.008569699538135843,0.2717480441830778
523405.0,JMFINANCIL,FY23,Capital Markets,250,0.04453209251477688,-0.0704476544591279,-0.5289877263473924,0.030126938208292545,0.027301884787491085,0.017887638645723323,0.0482704198810435
524200.0,VINATIORGA,FY23,Specialty Chemicals,250,-0.26805529195734773,-0.14192454931243356,-0.2911455209476408,0.013113257004761148,0.0126183255810257,0.006693895777244741,0.1312084108580667
524715.0,SUNPHARMA,FY23,Drug Manufacturers - Specialty & Generic,250,0.1312006264114345,0.30375445483988034,0.24983172612328755,0.011729666828741468,0.011059983200981907,0.00709741844438437,0.1504141486725802
524804.0,AUROPHARMA,FY23,Drug Manufacturers - Specialty & Generic,250,0.3466449329468818,0.4640043503325624,-0.09875907781817649,0.018385035328163664,0.0174163923662755,0.01017221479285842,0.1063227981288619
524816.0,NATCOPHARM,FY23,Drug Manufacturers - Specialty & Generic,250,0.25799106839737695,0.35247216829971123,0.3771032382489025,0.021347290997424963,0.02041296229739599,0.012931464952952637,0.2371905485981787
526299.0,MPHASIS,FY23,Information Technology Services,250,0.10676112223019989,0.17749813523754773,-0.19292467240064926,0.01906625785933757,0.01788981275414186,0.010112950600497876,0.1767925772633206
530019.0,JUBLPHARMA,FY23,Drug Manufacturers - Specialty & Generic,250,0.4019052723764734,0.36998882722976617,-0.2719343627309588,0.027816464108009625,0.02614754497810147,0.0143706775013421,0.0141887042455694
531344.0,CONCOR,FY23,Railroads,250,0.07569643692276228,-0.16413206426733543,-0.34713720219927674,0.023682820266795808,0.01618938264555708,0.009924012921310075,0.1054367641537832
531531.0,HATSUN,FY23,Packaged Foods,250,-0.10023668936337027,0.09300824899656653,-0.07701143052785547,0.01975105098446457,0.0196218542464233,0.011590892470115815,0.1699920496104309
531595.0,CGCL,FY23,Credit Services,250,-0.2573427523169606,-0.2025960050140869,-0.40342257068176507,0.03131854702097885,0.030663909842314888,0.016918516582720134,0.0728270303943366
531642.0,MARICO,FY23,Household & Personal Products,250,-0.08403051363782471,0.12468919911681557,0.09190396160587226,0.014842130088772854,0.014745133773858068,0.00859633019637485,0.386482254697286
532134.0,BANKBARODA,FY23,Banks - Regional,250,-0.06509880867327192,-0.2445881626195586,-0.2894089803923238,0.022446608177837495,0.01582859425460399,0.010761622693818876,0.156770758747794
