NSE Symbol,BSE Code,Industry,Sector,FY,FY_End,net_income,equity,roe,CG_Filing_Date
BHARATFORG,500493,Auto Parts,Consumer Cyclical,FY23,2023-03-31,5283640000.0,67055260000.0,0.07879531001743935,2022-10-18
BHARATFORG,500493,Auto Parts,Consumer Cyclical,FY24,2024-03-31,9511280000.0,71701840000.0,0.13265043128600326,2023-10-20
BHARATFORG,500493,Auto Parts,Consumer Cyclical,FY25,2025-03-31,9411530000.0,92533340000.0,0.10170961082783783,2024-10-21
BIKAJI,543653,Packaged Foods,Consumer Defensive,FY23,2023-03-31,1371670000.0,9556302000.0,0.1435356479943811,2023-04-14
BIKAJI,543653,Packaged Foods,Consumer Defensive,FY24,2024-03-31,2656996000.0,12183537000.0,0.21808084138456674,2023-10-10
BIKAJI,543653,Packaged Foods,Consumer Defensive,FY25,2025-03-31,2008451000.0,13831891000.0,0.145204368657908,2024-10-09
BOSCHLTD,500530,Auto Parts,Consumer Cyclical,FY23,2023-03-31,14255000000.0,110051000000.0,0.1295308538768389,2022-10-20
BOSCHLTD,500530,Auto Parts,Consumer Cyclical,FY24,2024-03-31,24913000000.0,120569000000.0,0.20662856953279865,2023-10-20
BOSCHLTD,500530,Auto Parts,Consumer Cyclical,FY25,2025-03-31,20152000000.0,138133000000.0,0.145888382935287,2024-10-18
BAJAJHLDNG,500490,Asset Management,Financial Services,FY23,2023-03-31,48505200000.0,441827800000.0,0.10978304217163339,2022-11-14
BAJAJHLDNG,500490,Asset Management,Financial Services,FY24,2024-03-31,72672100000.0,542475100000.0,0.1339639367779277,2023-10-16
BAJAJHLDNG,500490,Asset Management,Financial Services,FY25,2025-03-31,65206700000.0,626875500000.0,0.10401858104200915,2024-10-15
BALKRISIND,502355,Auto Parts,Consumer Cyclical,FY23,2023-03-31,10574000000.0,75569300000.0,0.13992454607889712,2022-10-17
BALKRISIND,502355,Auto Parts,Consumer Cyclical,FY24,2024-03-31,14714900000.0,88538100000.0,0.16619850663160832,2023-10-18
BALKRISIND,502355,Auto Parts,Consumer Cyclical,FY25,2025-03-31,16549600000.0,103876000000.0,0.15932072856097654,2024-10-21
BANKBARODA,532134,Banks - Regional,Financial Services,FY23,2023-03-31,149052030000.0,1050547168000.0,0.14188037866377837,2022-10-13
BANKBARODA,532134,Banks - Regional,Financial Services,FY24,2024-03-31,187673789000.0,1197122413000.0,0.156770758747794,2023-10-19
BANKBARODA,532134,Banks - Regional,Financial Services,FY25,2025-03-31,207163280000.0,1465027153000.0,0.1414057613715778,2024-10-18
BDL,541143,Aerospace & Defense,Industrials,FY23,2023-03-31,3521749000.0,32114977000.0,0.1096606421359106,2022-10-14
BDL,541143,Aerospace & Defense,Industrials,FY24,2024-03-31,6127206000.0,36368233000.0,0.1684768682602754,2023-10-11
BDL,541143,Aerospace & Defense,Industrials,FY25,2025-03-31,5496452000.0,40089508000.0,0.137104501257536,2024-10-14
BEL,500049,Aerospace & Defense,Industrials,FY23,2023-03-31,29844200000.0,138616300000.0,0.2153007979581045,2022-10-19
BEL,500049,Aerospace & Defense,Industrials,FY24,2024-03-31,39845200000.0,163264700000.0,0.24405275604585683,2023-10-11
BEL,500049,Aerospace & Defense,Industrials,FY25,2025-03-31,53214400000.0,199738900000.0,0.26641981106334317,2024-10-18
BPCL,500547,Oil & Gas Refining & Marketing,Energy,FY23,2023-03-31,21310500000.0,535223600000.0,0.039816069396043076,2022-10-19
BPCL,500547,Oil & Gas Refining & Marketing,Energy,FY24,2024-03-31,268588400000.0,756351100000.0,0.3551107415590458,2023-10-11
BPCL,500547,Oil & Gas Refining & Marketing,Energy,FY25,2025-03-31,133365500000.0,813840800000.0,0.16387173019588105,2024-10-16
BLUESTARCO,500067,Building Products & Equipment,Industrials,FY23,2023-03-31,4004600000.0,13306500000.0,0.30095066320970953,2022-10-17
BLUESTARCO,500067,Building Products & Equipment,Industrials,FY24,2024-03-31,4149500000.0,26100900000.0,0.15897919228838853,2023-10-12
BLUESTARCO,500067,Building Products & Equipment,Industrials,FY25,2025-03-31,5912400000.0,30650200000.0,0.19289923067386183,2024-10-16
BRIGADE,532929,Real Estate - Development,Real Estate,FY23,2023-03-31,2914100000.0,32450100000.0,0.08980249675655853,2022-10-18
BRIGADE,532929,Real Estate - Development,Real Estate,FY24,2024-03-31,4516100000.0,35161500000.0,0.12843877536510104,2023-10-13
BRIGADE,532929,Real Estate - Development,Real Estate,FY25,2025-03-31,6857600000.0,56384500000.0,0.1216220769892435,2024-10-20
CEATLTD,500878,Auto Parts,Consumer Cyclical,FY23,2023-03-31,1861700000.0,34396400000.0,0.05412485027502878,2022-10-19
CEATLTD,500878,Auto Parts,Consumer Cyclical,FY24,2024-03-31,6426500000.0,40426100000.0,0.15896908185553393,2023-10-13
CEATLTD,500878,Auto Parts,Consumer Cyclical,FY25,2025-03-31,4726400000.0,43685300000.0,0.10819200051275829,2024-10-11
CESC,500084,Utilities - Regulated Electric,Utilities,FY23,2023-03-31,13428300000.0,109103700000.0,0.12307831906708938,2022-10-19
CESC,500084,Utilities - Regulated Electric,Utilities,FY24,2024-03-31,13763500000.0,114456400000.0,0.12025103008656571,2023-10-19
CESC,500084,Utilities - Regulated Electric,Utilities,FY25,2025-03-31,13689400000.0,120097200000.0,0.113986004669551,2024-10-09
CGPOWER,500093,Electrical Equipment & Parts,Industrials,FY23,2023-03-31,9626700000.0,17905100000.0,0.5376512837124618,2022-10-18
CGPOWER,500093,Electrical Equipment & Parts,Industrials,FY24,2024-03-31,14270100000.0,30174400000.0,0.4729207540166499,2023-10-20
CGPOWER,500093,Electrical Equipment & Parts,Industrials,FY25,2025-03-31,9746000000.0,38439500000.0,0.25354127915295466,2024-10-19
