NSE Symbol,BSE Code,Q_FY,Beta_Market,Momentum,Log_MarketCap,FY,ROE,DE_Ratio
ECLERX,532927,Q3FY24,0.6771882279646928,0.863285159320952,25.5164415245406,FY24,0.2275665283352488,0.11823798966051628
ECLERX,532927,Q3FY25,0.6149023160779936,0.45530057159675125,25.812519159478107,FY25,0.2346694932087527,0.15531828523498956
ECLERX,532927,Q3FY26,1.2546096775080204,0.3884780310628014,26.11132242723675,FY26,0.2346694932087527,0.15531828523498956
ECLERX,532927,Q4FY21,0.15476791240105753,0.048242262883874176,24.255237268373786,FY21,0.2346694932087527,0.15531828523498956
ECLERX,532927,Q4FY22,0.6336836526621457,1.2750703724904,25.021046701529375,FY22,0.2346694932087527,0.15531828523498956
ECLERX,532927,Q4FY23,0.6746929577929832,-0.05589457906251854,24.818511736541762,FY23,0.2850476799712631,0.11287029753258408
ECLERX,532927,Q4FY24,1.137973690997426,0.7381001516205455,25.425916132238456,FY24,0.2275665283352488,0.11823798966051628
ECLERX,532927,Q4FY25,0.6231464857531867,0.25628178743461677,25.58588151863009,FY25,0.2346694932087527,0.15531828523498956
ECLERX,532927,Q4FY26,1.043284921809608,0.08944320170953093,25.585194932856805,FY26,0.2346694932087527,0.15531828523498956
EICHERMOT,505200,Q1FY22,0.9967541730828988,0.04841323568836316,27.27232958086226,FY22,,
EICHERMOT,505200,Q1FY23,0.9352738562644685,0.07100764881418963,27.323627241951613,FY23,0.19438863049923016,0.019239800724202616
EICHERMOT,505200,Q1FY24,0.9617626509429821,0.3760912872198722,27.578051482856168,FY24,0.2217175112063763,0.023243429259212668
EICHERMOT,505200,Q1FY25,0.7697218106919226,0.34160414579328574,27.855428393412055,FY25,0.22231081272078168,0.02151199563871793
EICHERMOT,505200,Q1FY26,1.1422888362146106,0.10482488526997817,28.05746217062819,FY26,0.22231081272078168,0.02151199563871793
EICHERMOT,505200,Q2FY22,0.9559117538684262,0.060263487531895435,27.322140925710073,FY22,0.22231081272078168,0.02151199563871793
EICHERMOT,505200,Q2FY23,0.967609811294777,0.3317711857791424,27.60328827351727,FY23,0.19438863049923016,0.019239800724202616
EICHERMOT,505200,Q2FY24,0.9236651948495427,-0.002132593090775723,27.551127510543086,FY24,0.2217175112063763,0.023243429259212668
EICHERMOT,505200,Q2FY25,0.8422843341647808,0.4973316115146447,27.93933099182809,FY25,0.22231081272078168,0.02151199563871793
EICHERMOT,505200,Q2FY26,1.1035394347213003,0.30655699318299423,28.28423557109809,FY26,0.22231081272078168,0.02151199563871793
EICHERMOT,505200,Q3FY22,0.9870644190997763,-0.02984457144100294,27.24841886465861,FY22,0.22231081272078168,0.02151199563871793
EICHERMOT,505200,Q3FY23,0.9671166454359732,0.42172104017627343,27.474446027945703,FY23,0.19438863049923016,0.019239800724202616
EICHERMOT,505200,Q3FY24,1.0139503467892395,0.1420060569248465,27.735178661496697,FY24,0.2217175112063763,0.023243429259212668
EICHERMOT,505200,Q3FY25,0.8346109097002887,0.2701028190836306,27.897824817817042,FY25,0.22231081272078168,0.02151199563871793
EICHERMOT,505200,Q3FY26,1.0219042089039907,0.46355622617136594,28.327125228826915,FY26,0.22231081272078168,0.02151199563871793
EICHERMOT,505200,Q4FY21,0.8456566096297504,-0.01734383878146736,27.246850092304115,FY21,0.22231081272078168,0.02151199563871793
EICHERMOT,505200,Q4FY22,1.0346637055059373,0.04978159983651513,27.1950297981193,FY22,0.22231081272078168,0.02151199563871793
EICHERMOT,505200,Q4FY23,0.9675789031380871,0.1551439100721317,27.3840759977976,FY23,0.19438863049923016,0.019239800724202616
EICHERMOT,505200,Q4FY24,0.9408675888019016,0.2070068695922713,27.704745501659044,FY24,0.2217175112063763,0.023243429259212668
EICHERMOT,505200,Q4FY25,0.9701912138376377,0.31790880689754697,28.001323411008414,FY25,0.22231081272078168,0.02151199563871793
EICHERMOT,505200,Q4FY26,1.0688916850727033,0.7188279251434422,28.222486200223113,FY26,0.22231081272078168,0.02151199563871793
EIDPARRY,500125,Q1FY22,0.6912764798563021,0.20591654172541796,25.002478056198385,FY22,,
EIDPARRY,500125,Q1FY23,0.9372173854386632,0.30115326266662656,25.245784659277643,FY23,0.15571157170936295,0.26588045043090697
EIDPARRY,500125,Q1FY24,0.6791038466330336,-0.004514222582798517,25.12488804879256,FY24,0.12746360641802146,0.2465596996422626
EIDPARRY,500125,Q1FY25,0.7000932608501775,0.38614880946478747,25.63481928992179,FY25,0.11068294914267497,0.34074495982096165
EIDPARRY,500125,Q1FY26,1.0193944599243814,0.517447875695911,26.008694073742365,FY26,0.11068294914267497,0.34074495982096165
EIDPARRY,500125,Q2FY22,0.6557194524972614,0.1709688310335474,24.98890294232,FY22,0.11068294914267497,0.34074495982096165
EIDPARRY,500125,Q2FY23,0.9185799159346888,0.33333910949261847,25.36494884514874,FY23,0.15571157170936295,0.26588045043090697
EIDPARRY,500125,Q2FY24,0.7695670302125516,-0.07930567393754369,25.246029547415862,FY24,0.12746360641802146,0.2465596996422626
EIDPARRY,500125,Q2FY25,0.7347802089975531,0.8334898695795141,25.750891461174543,FY25,0.11068294914267497,0.34074495982096165
EIDPARRY,500125,Q2FY26,1.0476037211207223,0.3793566388797696,25.92951435694842,FY26,0.11068294914267497,0.34074495982096165
EIDPARRY,500125,Q3FY22,0.7050440594281357,0.3739496564270658,25.070450602332016,FY22,0.11068294914267497,0.34074495982096165
EIDPARRY,500125,Q3FY23,0.9110530519222206,0.3277359067875156,25.323621434477577,FY23,0.15571157170936295,0.26588045043090697
EIDPARRY,500125,Q3FY24,0.9358056277330618,-0.13506155768193923,25.318964513870828,FY24,0.12746360641802146,0.2465596996422626
EIDPARRY,500125,Q3FY25,0.7047097139442196,0.7483437891267966,25.791893006391863,FY25,0.11068294914267497,0.34074495982096165
EIDPARRY,500125,Q3FY26,1.103271804388224,0.18513774907345337,25.93844554085628,FY26,0.11068294914267497,0.34074495982096165
EIDPARRY,500125,Q4FY21,0.5023455119043385,-0.0783063547041771,24.710134305412133,FY21,0.11068294914267497,0.34074495982096165
EIDPARRY,500125,Q4FY22,0.8375304124106283,0.3361719380711616,25.08645358228519,FY22,0.11068294914267497,0.34074495982096165
EIDPARRY,500125,Q4FY23,0.9595375333624334,0.22292806770439455,25.130495089745143,FY23,0.15571157170936295,0.26588045043090697
EIDPARRY,500125,Q4FY24,0.6882443530868954,0.226865743627551,25.298648175997663,FY24,0.12746360641802146,0.2465596996422626
EIDPARRY,500125,Q4FY25,0.962859093044464,0.07179243971564599,25.663026505399277,FY25,0.11068294914267497,0.34074495982096165
EIDPARRY,500125,Q4FY26,0.9870990139644653,0.20543850017280277,25.650086762052577,FY26,0.11068294914267497,0.34074495982096165
ENDURANCE,540153,Q1FY22,0.4214805861539833,0.10605677434796028,26.13605679006458,FY22,,
ENDURANCE,540153,Q1FY23,0.5203632318591611,-0.13000645945060044,25.99871219787013,FY23,0.10869469138368348,0.11667020615217732
ENDURANCE,540153,Q1FY24,0.35007143862293055,0.13112510774674246,26.11539610293828,FY24,0.13671442815695856,0.15376174222858693
ENDURANCE,540153,Q1FY25,0.571570471761011,0.5828110567621113,26.64754041709485,FY25,0.1462816419165581,0.16505200950919086
ENDURANCE,540153,Q1FY26,0.61814746236832,0.11120446792625947,26.684588495155996,FY26,0.1462816419165581,0.16505200950919086
ENDURANCE,540153,Q2FY22,0.3608170533856164,0.23631623264425838,26.11415499741305,FY22,0.1462816419165581,0.16505200950919086
ENDURANCE,540153,Q2FY23,0.5682290514817252,-0.08219358444610442,26.01172238113833,FY23,0.10869469138368348,0.11667020615217732
ENDURANCE,540153,Q2FY24,0.29539131195819723,0.14317215246347942,26.127185500177436,FY24,0.13671442815695856,0.15376174222858693
ENDURANCE,540153,Q2FY25,0.5724502797961388,0.541072444250414,26.54148624262488,FY25,0.1462816419165581,0.16505200950919086
ENDURANCE,540153,Q2FY26,0.746229617601121,0.17632825277132694,26.679558463290956,FY26,0.1462816419165581,0.16505200950919086
ENDURANCE,540153,Q3FY22,0.445693160191296,0.2827472278341272,26.18086270095798,FY22,0.1462816419165581,0.16505200950919086
ENDURANCE,540153,Q3FY23,0.5348823565522439,-0.09698684417453148,25.979791290129338,FY23,0.10869469138368348,0.11667020615217732
ENDURANCE,540153,Q3FY24,0.4421566737279288,0.09632357037359737,26.321590941064834,FY24,0.13671442815695856,0.15376174222858693
ENDURANCE,540153,Q3FY25,0.5477069705151616,0.44672060839992933,26.431196145705933,FY25,0.1462816419165581,0.16505200950919086
ENDURANCE,540153,Q3FY26,0.8881695962407676,0.12297024485142266,26.621250942247276,FY26,0.1462816419165581,0.16505200950919086
ENDURANCE,540153,Q4FY21,0.2242469169830023,0.06845721327364804,26.02619119819823,FY21,0.1462816419165581,0.16505200950919086
