NSE Symbol,FY,Window_Start,Window_End,n_obs,alpha_daily,alpha_annual,t_alpha,p_alpha,r_squared,beta_Mkt_RF,beta_SMB,beta_HML,beta_RMW,beta_CMA,beta_MOM
GPIL,FY24,2023-04-03,2024-03-28,243,0.0007578034987781025,0.20219163101019152,0.05327108231734397,0.9575609857487144,0.03422093877236876,5.98679024475963,0.5427087907847752,-8.737704396800948,1.6188559652692507,-4.63512717277325,3.3448151293862765
GRSE,FY24,2023-04-03,2024-03-28,243,-0.0035393118225011642,-0.5768602485696345,-0.8463590181255162,0.3982098630950054,0.030840093133168156,0.7703376324841725,3.4437374591504186,0.19370066598176522,-0.5049504598684424,-3.926588920557966,3.1803902005165092
HAL,FY24,2023-04-03,2024-03-28,243,-0.00028010925313441394,-0.06580169799807237,-0.11221125192551593,0.9107512908256807,0.04120356429330574,2.497822912183201,0.24205627174110433,-0.023224738125457944,-0.6599806027743813,-1.6128332427935157,0.9544554887478982
HATSUN,FY24,2023-04-03,2024-03-28,243,0.0004214355236047173,0.1078362983474823,0.19615726475377723,0.8446558775936505,0.025481447645034794,0.2066979284869634,1.44735517937766,-0.5590256536818033,0.2528206241810115,1.3969691816583338,-0.6901369245721154
HCLTECH,FY24,2023-04-03,2024-03-28,243,0.0017630579577037676,0.5348353074538748,0.9341531504112407,0.3511796938445738,0.01638213809807132,0.16655998182240173,-0.11416473688094084,-0.8702302057581954,-0.04674265231806307,2.6323232459967607,-0.13726628093781268
HDFCAMC,FY24,2023-04-03,2024-03-28,243,0.0035101877764581488,1.3466191428710639,1.3766097093613439,0.16993753574532425,0.010781015448119602,0.7219303274983301,0.27244490107038466,0.09200967328184623,2.0690250441955174,2.4175115987217533,-0.6929067371106139
HDFCBANK,FY24,2023-04-03,2024-03-28,243,-0.0018893471975262653,-0.3681551269500132,-1.1507100762520002,0.25101611185183714,0.0525720120978751,1.6674717797055387,-0.06309666853182522,-0.22437114035769443,-0.24678621046552257,-1.9999353528387624,0.1555231970589632
HEROMOTOCO,FY24,2023-04-03,2024-03-28,243,-0.0005101289217186603,-0.11658599637171824,-0.23804648410349105,0.8120515894662406,0.031392857887659775,1.5712681621833138,0.09557402084389166,0.7001585037158076,-1.0222427613344047,-1.317226431469817,0.14385226742603316
HINDCOPPER,FY24,2023-04-03,2024-03-28,243,-0.003822564325623631,-0.6050053786963622,-0.9133875877008933,0.36197090288571465,0.044719429236094066,4.102179424196459,1.4474412549172293,-0.6504989933405041,-5.922760129768364,-4.429343533547603,-0.17358081900267375
HINDUNILVR,FY24,2023-04-03,2024-03-28,243,-0.00015349361102860704,-0.03661191014571596,-0.11032715708753037,0.9122436828376639,0.03798245016276247,0.859573248981867,0.2079932720334258,-1.355101427039165,-0.2579336852620552,1.6137566719891279,-0.5730169757241251
HINDZINC,FY24,2023-04-03,2024-03-28,243,-0.0016292165858860061,-0.32692575123968715,-1.0063805338585503,0.3152632761217424,0.02532468989198866,1.0880254198524626,0.3910808855517717,0.5109646017991964,0.06573529833833218,-0.21479981384023272,-0.5996834273979561
HONAUT,FY24,2023-04-03,2024-03-28,243,0.00019714270293226288,0.04907169887108811,0.12116216980700913,0.9036656836937488,0.019832852036413717,1.0332717493497836,0.08753669920654389,-0.012748470292752417,1.4945604808228294,1.4295491756017915,-0.7077070618995497
HSCL,FY24,2023-04-03,2024-03-28,243,0.0014906147384831474,0.4365140519321229,0.3853760480737244,0.7003059452392918,0.04131470794868952,0.3392489407463912,3.5071920486111736,-1.2329319633416667,-1.3235740002214782,0.7232776872553475,1.1516878539149613
HUDCO,FY24,2023-04-03,2024-03-28,243,0.00037405100531921124,0.09515334470765174,0.07657220244033539,0.9390287475590186,0.021160431233587018,2.4767865639666478,0.03929229186575589,0.43185946156709165,-1.937194047918365,0.18220671212725437,0.8629284360771945
IDEA,FY24,2023-04-03,2024-03-28,243,-0.00011061949759795146,-0.02652247176777212,-0.022789902794986237,0.9818371194806849,0.006828443101713266,1.7628962704526188,0.7020364464996475,-0.2522660451363681,-0.9412562890413954,-2.2937047815846086,1.285248208668726
